sporing_trafikk,sporing,spordybde,asfalt,veibredde,posisjon
1.6149068322981364,1.2999999999999998,2.7,A1,3.1,5244.8
1.6149068322981364,1.2999999999999998,3.0,A1,3.1,5264.7
2.6086956521739126,2.0999999999999996,3.0,A1,3.1,5284.6
2.484472049689441,2.0,3.2,A1,3.1,5304.5
3.3540372670807455,2.7,3.0,A1,3.1,5324.2
2.857142857142857,2.3000000000000003,2.9,A1,3.1,5344.1
2.8571428571428568,2.3,3.0,A1,3.1,5363.9
1.3664596273291927,1.1,3.4,A1,3.1,5383.6
1.2422360248447204,1.0,2.8,A1,3.1,5403.5
0.24844720496894432,0.20000000000000018,3.0,A1,3.1,5423.2
-0.12422360248447216,-0.10000000000000009,3.4,A1,3.1,5442.9
-0.3726708074534159,-0.2999999999999998,3.3,A1,3.1,5462.7
0.4968944099378881,0.3999999999999999,3.0,A1,3.1,5482.3
1.2422360248447204,1.0,3.0,A1,3.1,5502.1
2.2360248447204967,1.7999999999999998,3.2,A1,3.1,5521.7
2.111801242236025,1.7000000000000002,3.3,A1,3.1,5541.5
2.6086956521739126,2.0999999999999996,2.7,A1,3.1,5561.2
2.7329192546583854,2.2,2.5,A1,3.1,5580.8
2.6086956521739135,2.1000000000000005,2.3,A1,3.1,5600.6
3.602484472049689,2.9,2.4,A1,3.1,5620.4
2.7329192546583854,2.2,2.8,A1,3.45,5640.1
2.981366459627328,2.3999999999999995,2.7,A1,3.45,5660.0
2.8571428571428568,2.3,2.8,A1,3.45,5679.9
2.981366459627329,2.4,2.6,A1,3.45,5699.6
2.2360248447204967,1.7999999999999998,3.8,A1,1.85,5719.5
2.8571428571428568,2.3,2.8,A1,1.85,5739.2
3.478260869565217,2.8,2.5,A1,1.85,5759.0
3.850931677018634,3.1000000000000005,2.8,A1,1.85,5778.9
3.7267080745341614,3.0,2.8,A1,1.85,5798.7
3.7267080745341614,3.0,2.7,A1,3.2,5818.4
3.4782608695652173,2.8000000000000003,2.9,A1,3.2,5838.3
